,Overlap,Name,Brier,RelTotTime,AvgCommVals,net,nr_clients
194,0.5,CCBNetJ,0.005,0.97,274,win95pts,2
195,0.1,CC,0.019,1.01,0,win95pts,4
196,0.1,CU,0.005,1.01,0,win95pts,4
197,0.1,DOM,0.011,0.93,4,win95pts,4
198,0.1,CCBNet,0.005,0.97,200,win95pts,4
199,0.1,CCBNetJ,0.005,0.89,139,win95pts,4
200,0.3,CC,0.016,1.09,0,win95pts,4
201,0.3,CU,0.006,1.1,0,win95pts,4
202,0.3,DOM,0.01,1.17,4,win95pts,4
203,0.3,CCBNet,0.006,1.3,770,win95pts,4
204,0.3,CCBNetJ,0.006,1.02,358,win95pts,4
205,0.5,CC,0.01,1.09,0,win95pts,4
206,0.5,CU,0.004,1.13,0,win95pts,4
207,0.5,DOM,0.007,1.28,4,win95pts,4
208,0.5,CCBNet,0.004,1.49,1000,win95pts,4
209,0.5,CCBNetJ,0.004,1.09,459,win95pts,4
210,0.1,CC,0.026,0.96,0,win95pts,8
211,0.1,CU,0.011,0.96,0,win95pts,8
212,0.1,DOM,0.016,0.89,4,win95pts,8
213,0.1,CCBNet,0.011,0.91,158,win95pts,8
214,0.1,CCBNetJ,0.011,0.85,115,win95pts,8
215,0.3,CC,0.038,1.04,0,win95pts,8
216,0.3,CU,0.011,1.09,0,win95pts,8
217,0.3,DOM,0.016,1.18,5,win95pts,8
218,0.3,CCBNet,0.011,1.37,1029,win95pts,8
219,0.3,CCBNetJ,0.011,1.04,344,win95pts,8
220,0.5,CC,0.016,1.07,0,win95pts,8
221,0.5,CU,0.006,1.13,0,win95pts,8
222,0.5,DOM,0.013,1.45,5,win95pts,8
223,0.5,CCBNet,0.006,1.73,1588,win95pts,8
224,0.5,CCBNetJ,0.006,1.08,456,win95pts,8
